PostId,time,timestamp,comments,likes,shares,ranking
1,2023-05-01T07:21:11.000Z,1682925671,12,276,85,1
2,2023-04-16T14:08:25.000Z,1681654105,144,2716,126,0
3,2022-12-28T21:30:49.000Z,1672263049,11,573,43,1
4,2022-12-25T22:38:46.000Z,1672007926,19,1074,105,0
5,2022-12-24T14:07:47.000Z,1671890867,7,533,32,1
6,2022-12-21T19:04:32.000Z,1671649472,107,2392,291,0
7,2022-12-20T18:58:36.000Z,1671562716,8,661,44,0
8,2022-12-18T20:10:21.000Z,1671394221,16,1425,155,1
9,2022-12-15T19:54:39.000Z,1671134079,14,1391,129,0
10,2022-12-14T21:56:42.000Z,1671055002,23,2478,704,1
11,2022-12-13T11:13:00.000Z,1670929980,7,457,57,0
12,2022-12-12T12:41:12.000Z,1670848872,23,1523,194,1
13,2022-12-11T21:29:32.000Z,1670794172,17,769,66,0
14,2022-12-07T15:45:22.000Z,1670427922,17,745,88,0
15,2022-12-04T21:12:47.000Z,1670188367,17,885,91,0
16,2022-12-03T17:37:24.000Z,1670089044,9,655,61,0
17,2022-12-03T11:03:11.000Z,1670065391,8,723,60,0
18,2022-12-02T23:20:42.000Z,1670023242,11,751,86,0
19,2022-11-27T22:24:59.000Z,1669587899,3,128,25,0
20,2022-11-11T21:53:02.000Z,1668203582,15,942,81,1
