PostId,comments,likes,shares,time,timestamp,ranking
1,1164,50567,526,2023-05-15T15:24:56.000Z,1684164296,1
2,1378,83827,310,2023-05-15T15:00:02.000Z,1684162802,0
3,776,68766,195,2023-05-15T14:00:03.000Z,1684159203,0
4,7666,160082,3854,2023-05-15T13:34:50.000Z,1684157690,1
5,411,30678,145,2023-05-15T11:00:00.000Z,1684148400,1
6,1095,77869,285,2023-05-15T10:57:16.000Z,1684148236,0
7,4158,115929,1895,2023-05-15T08:04:51.000Z,1684137891,1
8,439,26237,213,2023-05-14T17:25:40.000Z,1684085140,1
9,2970,98799,406,2023-05-14T14:35:12.000Z,1684074912,1
10,2365,203951,1635,2023-05-14T14:00:03.000Z,1684072803,0
11,785,60196,150,2023-05-14T12:00:03.000Z,1684065603,0
12,711,64105,141,2023-05-14T10:55:08.000Z,1684061708,1
13,344,32465,123,2023-05-14T07:53:15.000Z,1684050795,1
14,603,57651,176,2023-05-14T06:00:02.000Z,1684044002,0
15,1013,139860,939,2023-05-13T22:14:27.000Z,1684016067,0
16,1031,85178,490,2023-05-13T21:56:38.000Z,1684014998,0
17,1438,28040,321,2023-05-13T21:36:29.000Z,1684013789,1
18,330,48538,565,2023-05-13T21:36:08.000Z,1684013768,1
19,689,72772,375,2023-05-13T21:19:39.000Z,1684012779,0
20,2390,162995,3569,2023-05-13T20:19:39.000Z,1684011779,1
